N_RUNS	EPOCH	F1 (TEST)	STDEV (F1 TEST)	ACC (TEST)	STDEV (ACC TEST)	F1 (VAL)	STDEV (F1 VAL)	ACC (VAL)	STDEV (ACC VAL)
hdt
---------------------
5	1	-	-	-	-	0.9013573323224173	0.0008442721179749473	0.9738857938718664	0.00039433421268729734
5	2	-	-	-	-	0.9405119661366838	0.01567891849775512	0.9760328470172922	0.00014647924695123196
5	3	-	-	-	-	0.9619625940110043	0.002115968027368187	0.9767188835875231	0.00016234969001547087
5	4	-	-	-	-	0.9574413570537225	0.00525652732542227	0.9767485313991008	0.0003498314303083078
5	5	-	-	-	-	0.9531673251706307	0.008031282034315025	0.9765878816293885	0.0001646611339774163

uzh
---------------------
5	1	0.5075139408021737	0.007498700080104742	0.5777008310249307	0.003803193966134604	-	-	-	-
5	2	0.5004708994266964	0.018206927129957844	0.5763157894736842	0.006307644064673533	-	-	-	-
5	3	0.4708617046339102	0.007132621992509963	0.5692520775623269	0.006466824116304013	-	-	-	-
5	4	0.47573361474838227	0.016426074436954742	0.5691135734072021	0.005039724487163521	-	-	-	-
5	5	0.46970249007984827	0.0025478044768807236	0.5695290858725762	0.004259987949925137	-	-	-	-

lsdc
---------------------
5	1	0.27770771981892267	0.009672218649294165	0.3721025641025641	0.017365165732972334	-	-	-	-
5	2	0.2686457088267484	0.008897552858783069	0.352	0.019668789374963056	-	-	-	-
5	3	0.2688643033285415	0.007952168721378168	0.34728205128205125	0.013542345985085094	-	-	-	-
5	4	0.2660917322475521	0.015165353370221473	0.35015384615384615	0.032907576828973086	-	-	-	-
5	5	0.26346738597559155	0.01241020039898729	0.3507692307692308	0.01969391019120705	-	-	-	-

noah
---------------------
5	1	0.5141079239112091	0.002380836984362537	0.6343113260401616	0.003395157965586266	-	-	-	-
5	2	0.5157119153532814	0.00441984436298511	0.6279715743225311	0.005816410894776703	-	-	-	-
5	3	0.515573483383098	0.004314901442171669	0.6241323386312033	0.004965822491008875	-	-	-	-
5	4	0.5173532133225635	0.006910671591657054	0.6240713983821348	0.004477776751382595	-	-	-	-
5	5	0.5165470299805562	0.003998168305458057	0.6243525098536452	0.00423938730150497	-	-	-	-

