TRAIN	TARGET	AVG_0_MONOLINGUAL	AVG_15_MONOLINGUAL	AVG_35_MONOLINGUAL	AVG_55_MONOLINGUAL	AVG_75_MONOLINGUAL	AVG_95_MONOLINGUAL	AVG_0_MBERT	AVG_15_MBERT	AVG_35_MBERT	AVG_55_MBERT	AVG_75_MBERT	AVG_95_MBERT	AVG_0_XLMR	AVG_15_XLMR	AVG_35_XLMR	AVG_55_XLMR	AVG_75_XLMR	AVG_95_XLMR
German	Alsatian G.	1.342245546066995	1.5081138976867687	1.726864297693141	1.9466899098711963	2.164043032452863	2.3835007297752595	1.5525959832481713	1.7142249440810322	1.927551176723846	2.1418780301493117	2.3538647489297047	2.5676097182785167	1.5741446293304446	1.7370430983153384	1.9523237724289153	2.1678419058675615	2.381948444279851	2.597525906048497
German	German	1.3422455460669949	1.508113897686769	1.726864297693141	1.9466899098711963	2.1640019683024203	2.38350072977526	1.5525959832481713	1.7142249440810322	1.9275511767238462	2.141913380236513	2.3538647489297047	2.5676097182785167	1.5741446293304446	1.7370430983153384	1.9523237724289153	2.16794770849302	2.3819484442798506	2.5975259060484968
German	Swiss German	1.342245546066995	1.5081138976867687	1.726864297693141	1.9466899098711963	2.1639677481770523	2.3835007297752595	1.5525959832481713	1.7142249440810322	1.927551176723846	2.1419416603062746	2.3538647489297047	2.5676097182785167	1.5741446293304446	1.7370430983153384	1.9523237724289153	2.1680323505933874	2.381948444279851	2.597525906048497
German	Low Saxon	1.342245546066995	1.5081138976867687	1.726864297693141	1.9466899098711963	2.164043032452863	2.3835007297752595	1.5525959832481713	1.7142249440810322	1.927551176723846	2.1418780301493117	2.3538647489297047	2.5676097182785167	1.5741446293304446	1.7370430983153384	1.9523237724289153	2.1678419058675615	2.381948444279851	2.597525906048497
Dutch	Dutch	1.2145316822906873	1.411487882808581	1.664779126269099	1.923202778441123	2.179576794953384	2.447397766121118	1.4551740069409376	1.590593245831228	1.7654644167225246	1.9444126805124533	2.121379818799833	2.305325052953693	1.449037041016412	1.5875863893743096	1.7667784987958268	1.9485941747512237	2.1286081216511326	2.317120374032199
Dutch	Low Saxon	1.2145316822906873	1.411487882808581	1.664779126269099	1.923202778441123	2.1795767949533835	2.447397766121118	1.4551740069409376	1.5905932458312282	1.7654644167225246	1.9444126805124538	2.1213798187998325	2.3053250529536924	1.449037041016412	1.5875863893743098	1.7667784987958268	1.9485941747512237	2.1286081216511326	2.317120374032199
Bokmål	Bokmål	1.145826328694554	1.252418891000935	1.3921018273545929	1.5356596923981076	1.6736870239768205	1.8178567938602956	1.4892418221855892	1.6136442224854657	1.7768938637398322	1.9416962471677972	2.104422622508753	2.2706409615614342	1.4160755144049797	1.5489499269043119	1.7236281318595446	1.900107818402675	2.0734789499264417	2.251008325868008
Bokmål	East N.	1.145826328694554	1.2524188910009348	1.392101827354593	1.5356596923981074	1.673687023976821	1.8178567938602956	1.4892418221855894	1.6136628948902647	1.7768938637398322	1.9416962471677977	2.1044226225087526	2.2706409615614342	1.4160755144049797	1.5489499269043119	1.7236281318595446	1.900107818402675	2.073478949926442	2.251008325868008
Bokmål	North N.	1.145826328694554	1.2524188910009348	1.392101827354593	1.5356596923981074	1.673687023976821	1.8178567938602956	1.4892418221855894	1.6136628948902647	1.7768938637398322	1.9416962471677977	2.1044226225087526	2.2706409615614342	1.4160755144049797	1.5489499269043119	1.7236281318595446	1.900107818402675	2.073478949926442	2.251008325868008
Bokmål	West N.	1.145826328694554	1.2524188910009348	1.392101827354593	1.5356596923981074	1.673687023976821	1.8178567938602956	1.4892418221855894	1.6136330190425863	1.7768938637398322	1.9416962471677977	2.1044226225087526	2.2706409615614342	1.4160755144049797	1.5489499269043119	1.7236281318595446	1.900107818402675	2.073478949926442	2.251008325868008
Nynorsk	East N.	1.2240638528579697	1.321755471440467	1.4512522052739916	1.5806190366709687	1.709594413183725	1.839341076243869	1.5462466160018264	1.6637395928503431	1.819819445465566	1.9756825306525783	2.1304650389654514	2.2853451936633293	1.5382401265497658	1.6566740319345576	1.8148335746396502	1.9709501788207908	2.128314228165465	2.284933671751865
Nynorsk	North N.	1.2240638528579697	1.321755471440467	1.4512522052739916	1.5806190366709687	1.709594413183725	1.839341076243869	1.5462466160018264	1.6637395928503431	1.819819445465566	1.9756825306525783	2.1304650389654514	2.2853451936633293	1.5382401265497658	1.6566740319345576	1.8148335746396502	1.9709501788207908	2.128314228165465	2.284933671751865
Nynorsk	Nynorsk	1.2240638528579697	1.321755471440467	1.4512522052739913	1.5806190366709685	1.709594413183725	1.8393410762438687	1.5462466160018267	1.6637395928503431	1.819819445465566	1.9756825306525783	2.130465038965451	2.2853451936633293	1.5382401265497658	1.6566740319345576	1.8148335746396504	1.9709501788207908	2.1283142281654652	2.284933671751865
Nynorsk	West N.	1.2240638528579697	1.321755471440467	1.4512522052739916	1.5806190366709687	1.709594413183725	1.839341076243869	1.5462466160018264	1.6637395928503431	1.819819445465566	1.9756825306525783	2.1304650389654514	2.2853451936633293	1.5382401265497658	1.6566740319345576	1.8148335746396502	1.9709501788207908	2.128314228165465	2.284933671751865
French	French	1.3094543728169825	1.4945861968909961	1.7408729016486295	1.9859581394625316	2.2332252541363102	2.478288773761189	1.3153915269466157	1.4599170673053148	1.652339710838452	1.8440461388866933	2.0361614678030047	2.227895731881506	1.458848708111516	1.6009007531846666	1.789731328748175	1.9778963193397985	2.1669019233344784	2.354764719133493
