TRAIN	TARGET	AVG_ALL_MONOLINGUAL	AVG_0_MONOLINGUAL	AVG_15_MONOLINGUAL	AVG_35_MONOLINGUAL	AVG_55_MONOLINGUAL	AVG_75_MONOLINGUAL	AVG_95_MONOLINGUAL	RHO_MONOLINGUAL	P_MONOLINGUAL	AVG_ALL_MBERT	AVG_0_MBERT	AVG_15_MBERT	AVG_35_MBERT	AVG_55_MBERT	AVG_75_MBERT	AVG_95_MBERT	RHO_MBERT	P_MBERT	AVG_ALL_XLMR	AVG_0_XLMR	AVG_15_XLMR	AVG_35_XLMR	AVG_55_XLMR	AVG_75_XLMR	AVG_95_XLMR	RHO_XLMR	P_XLMR
German	Alsatian G.	0.5676045968185969	0.3300370414390983	0.5687011578526775	0.618299291594293	0.6291303237055258	0.6319321128929889	0.6253345313588363	0.8447383344505777	7.26425826127217e-12	0.5875193358539871	0.43526041332049353	0.6050576674862498	0.627292313713063	0.6266871948180663	0.625417863661113	0.613234133917753	0.4400013412650872	0.01691543207020543	0.5576883831866649	0.3295087119408008	0.5609205794603909	0.6107719159214338	0.624116290095392	0.6204835477575064	0.6136148353262116	0.4804952918641188	0.00833322213024717
German	German	0.9412348222604644	0.9587497297823416	0.9588454734073343	0.9480222919399086	0.9259838518151108	0.9208196646333839	0.9018081354536761	-0.6828478199178828	2.1894473607833092e-12	0.9188027226734047	0.9520753641759047	0.9190847991529315	0.912306455029231	0.9117749972419821	0.9109791933067605	0.9058927545904749	-0.7866668011810247	1.525068472973954e-13	0.9252866395582765	0.9480252336959388	0.9289540194700543	0.9277787905594798	0.9209595161441698	0.9175510456270519	0.9080185195115529	-0.5435088648659266	8.652016028272164e-06
German	Swiss German	0.68677913090886	0.5330734493525273	0.7064029460463822	0.72722642203489	0.7175224627495221	0.7013835098552322	0.6928974893502872	0.2543855868688234	0.10848972523100522	0.6525204918421507	0.5483847890813053	0.6751703128985783	0.6787913384098949	0.6765847913111637	0.6744268668101421	0.6617648525418204	-0.05774819259606683	0.7618038950965571	0.6593965110440262	0.5188375357032298	0.6821677175054885	0.7025450828831771	0.694106149987504	0.6867188454418364	0.6720037347429206	-0.23879658019454658	0.20378311410563787
German	Low Saxon	0.40773560701606504	0.14671882670805242	0.3714590357321575	0.4657718190250607	0.4890498244695113	0.5238605926748514	0.5221066860545719	0.8857158504519631	3.124237367902751e-14	0.557962419438012	0.39144332627996603	0.5893887170402279	0.5938498617435041	0.6030497672045462	0.5912659357902342	0.5877943781229001	0.21728461297041346	0.25753533699570874	0.5442613709893598	0.2851384874580828	0.4922504735399779	0.5923253509777753	0.6537746434717747	0.6411192335955104	0.6228626913895204	0.5629646790597076	0.0014758790517365068
Dutch	Dutch	0.829939573374293	0.8893677008014688	0.8822557400868332	0.8708079889400336	0.8396883331352759	0.808192085761523	0.6893255915206233	-0.9780930063492477	3.13113630019072e-41	0.845553735965176	0.8846247782790989	0.872063228693559	0.8513466991191722	0.8409849482576011	0.8278631800123162	0.7964395814293088	-0.9312206054423969	4.203552271957595e-27	0.8492014333687107	0.8969214139333781	0.8786104557735046	0.8530123294337006	0.8397356817927525	0.8281570396101054	0.7987716796688227	-0.7501252202067934	5.256726154470607e-12
Dutch	Low Saxon	0.4635659306780632	0.4165815337481503	0.48086770492648234	0.48639531285970233	0.47579158808399286	0.46658652396009737	0.4551729204899531	0.07112615227083134	0.708780816387929	0.5616386533470695	0.5828646277281342	0.5618808852239909	0.5592194981189904	0.5599657411184461	0.5504216603567011	0.5554795075361547	-0.3645494011373331	0.04763258223801032	0.5248772544965898	0.49481288299311543	0.5340245637718096	0.5375430858303819	0.5354775049471996	0.5319071832051054	0.5154983062319274	-0.3649953331264919	0.04734098995765888
Bokmål	Bokmål	0.8921197336121877	0.9277730515643988	0.9247110997026423	0.9142269170708053	0.8986908489534156	0.8721928946683258	0.815123589713538	-0.7268280245010157	4.8702096912964695e-11	0.88321926812867	0.9161849852671816	0.9104842501571084	0.9036957566410125	0.8945946779266958	0.8675779428096198	0.81223099237609	-0.449844648010474	0.00039597612220978925	0.879791624977557	0.9122143473924631	0.9061077564443369	0.8892529517801918	0.8784578345245446	0.8601510203863633	0.8325658393374432	-0.1843202953810333	0.15859375787500546
Bokmål	East N.	0.5399834987457008	0.3783383812127621	0.5933170195213051	0.6054914055807453	0.5790504129664117	0.5562712353772816	0.5274325378156995	-0.23924251218370543	0.20291458871926654	0.4911516131250699	0.48254974494503566	0.5202888448059431	0.5058458546019835	0.4953461956493199	0.48606503405199736	0.46846889736848907	-0.7777197231769175	1.116228830402904e-06	0.5499885594640915	0.5673698056682579	0.5682812118956023	0.5620388683878604	0.5508544074956376	0.5350582888043436	0.5163287745328471	-0.6040148793156179	0.0004086961193015414
Bokmål	North N.	0.5675739148430055	0.3963010573748913	0.6227618653391549	0.6335847803840087	0.6051852356653186	0.5847068826531444	0.5629036676415144	-0.2432559000861348	0.19521241792951505	0.515626729988379	0.49662765066587033	0.5252981727607403	0.5270976061373567	0.5211399029092311	0.5196151006390177	0.5078505239270024	-0.40340437299579	0.033279181718558676	0.583208165560328	0.6074169224512296	0.5942379411584222	0.5902980840632813	0.5849413115483971	0.5695631797816273	0.5527915543590101	-0.47826205837283137	0.007511625825087955
Bokmål	West N.	0.5430113983140115	0.36157883679686914	0.6087566735711476	0.6136849550149736	0.5810869552237683	0.560667845070637	0.532293124206673	-0.2579716557283757	0.16871114015512798	0.49653333010163686	0.5112293961277514	0.5180533768725473	0.5040203039691326	0.49130679720498077	0.4850888386794286	0.4695012677559801	-0.8189540980901677	3.1689432717041956e-08	0.5605664884011791	0.600739694579774	0.5762965789494714	0.5664542762008304	0.5582731929180571	0.5390309988868104	0.5226041888721312	-0.5634350683021656	0.0011866930580455124
