German	Alsatian G.	True	True	0.3300370414390983	0.5701788974488677	0.019260619311245113	'+	Great!	0.6319321128929889	75	True	True	0.43526041332049353	0.6050576674862498	0.019112970335132217	'+	Great!	0.627292313713063	35									
German	German	True	False	0.9587497297823416	0.9588754327995339	0.009076247388059965	'=	Inconclusive	0.9588754327995339	15																		
German	Swiss German	True	False	0.5330734493525273	0.705261614291414	0.018791081997858523	'+	Great!	0.72722642203489	35	True	True	0.5483847890813053	0.6751703128985783	0.009496877491150909	'+	Great!	0.6787913384098949	35									
German	Low Saxon	True	False	0.14671882670805242	0.37815084115736614	0.017956119597348778	'+	Great!	0.5238605926748514	75	True	True	0.39144332627996603	0.5893887170402279	0.08207083584844961	'+	Great!	0.6030497672045462	55									
Dutch	Dutch																											
Dutch	Low Saxon	True	True	0.4165815337481503	0.48086770492648234	0.017022150512411068	'+	Great!	0.48639531285970233	35	True	True	0.5828646277281342	0.5618808852239909	0.009140946207641496	'-	Loss!	0.5828646277281342	0									
Bokmål	Bokmål	True	False	0.9277730515643988	0.9247110997026423	0.010661737321328744	'=	Inconclusive	0.9277730515643988	0	False	False	0.9161849852671816	0.9104842501571084	0.01239948052474103	'=	Inconclusive	0.9161849852671816	0									
Bokmål	East N.	True	True	0.3783383812127621	0.5933170195213051	0.05405157938802604	'+	Great!	0.6054914055807453	35	True	False	0.48254974494503566	0.5202888448059431	0.003988954254019525	'+	Great!	0.5202888448059431	15									
Bokmål	North N.	True	True	0.3963010573748913	0.6227618653391549	0.06839286487102832	'+	Great!	0.6335847803840087	35	True	False	0.49662765066587033	0.5252981727607403	0.004605966143879847	'+	Great!	0.5270976061373567	35									
Bokmål	West N.	True	True	0.36157883679686914	0.6087566735711476	0.06802016186787904	'+	Great!	0.6136849550149736	35	True	False	0.5112293961277514	0.5180533768725473	0.002720924706843109	'+	Great!	0.5180533768725473	15									
Nynorsk	East N.	True	True	0.5854927749189843	0.624871051532055	0.006149430261843965	'+	Great!	0.624871051532055	15	True	False	0.4736167089680074	0.5215481491710957	0.009693558399804196	'+	Great!	0.5215481491710957	15									
Nynorsk	North N.	True	True	0.6255100279892062	0.6602067469885616	0.004658162207040932	'+	Great!	0.6602067469885616	15	True	False	0.4894481595138217	0.5326022474479191	0.007660655713781712	'+	Great!	0.5326022474479191	15									
Nynorsk	Nynorsk	False	False	0.942680197125134	0.9155569808513567	0.02713411444107697	'=	Inconclusive	0.942680197125134	0	False	False	0.895314597595973	0.8785750941648558	0.02676663875533101	'=	Inconclusive	0.895314597595973	0									
Nynorsk	West N.	True	True	0.6305300369126831	0.6443959653580287	0.013154037418255216	'+	Great!	0.6443959653580287	15	True	False	0.48001203787558316	0.5303309350427104	0.009774898139838598	'+	Great!	0.5303309350427104	15									
French	French																											
French	Picard										True	False	0.4746549673490522	0.5052836463866641	0.003402812008613817	'+	Great!	0.5136152306067527	35									
French	Occitan										True	True	0.6595216864863	0.661546637285088	0.00231284904904055	'=	Inconclusive	0.661546637285088	15									
Spanish	Occitan	True	True	0.46840594012910575	0.528980902745742	0.010342549451474673	'+	Great!	0.528980902745742	15	True	True	0.6731997019189632	0.6901023909147069	0.019974888984763725	'=	Inconclusive	0.6901023909147069	15									
Spanish	Spanish	False	False	0.9554070442719917	0.9326897309667368	0.0057622611479315146	'-	Good	0.9554070442719917	0	True	False	0.954271971438948	0.9327078558887798	0.007387537013986307	'-	Loss!	0.954271971438948	0									
MSA	Egyptian A.										True	True	0.36957456901507924	0.366437485922692	0.003358884054394054	'=	Inconclusive	0.36957456901507924	0									
MSA	Gulf Arabic										True	True	0.40938761084554665	0.398760536559096	0.003513396813176626	'-	Loss!	0.40938761084554665	0									
MSA	Levantine A.										True	True	0.32545224553013175	0.3226649957208595	0.003940321234616178	'=	Inconclusive	0.32545224553013175	0									
MSA	MSA										True	True	0.8879487782836332	0.8368488370237465	0.03186261967576096	'-	Loss!	0.8879487782836332	0									
MSA	Maghrebi A.										True	True	0.32212839962830353	0.31266745972856863	0.005695754472072715	'-	Loss!	0.32212839962830353	0									
Finnish	Finnish	False	False	0.9323779546018807	0.9182872224880259	0.011467922119551461	'-	Good	0.9323779546018807	0	False	False	0.873973356122062	0.8502099640486647	0.01551894607272732	'-	Good	0.873973356122062	0									
Finnish	Ostrobothnian F.																											
Finnish	SE Finnish																											
Finnish	SW Finnish																											
Finnish	SW transition area																											
Finnish	Savonian F.																											
Finnish	Tavastian F.																											
