SETUP_NAME	TRAIN_SET	DEV_SET	SUBTOKEN_RATIO_TRAIN	SUBTOKEN_RATIO_DEV	SUBTOKEN_RATIO_DIFF	UNK_RATIO_TRAIN	UNK_RATIO_DEV	UNK_RATIO_DIFF	TTR_TRAIN	TTR_DEV	TTR_DIFF	SPLIT_TOKEN_RATIO_TRAIN	SPLIT_TOKEN_RATIO_DEV	SPLIT_TOKEN_RATIO_DIFF	DEV_SUBTOKS_IN_TRAIN	DEV_SUBTOK_TYPES_IN_TRAIN	DEV_WORD_TOKENS_IN_TRAIN	DEV_WORD_TYPES_IN_TRAIN	F1_MACRO_AVG_DEV	F1_MACRO_STD_DEV	ACCURACY_AVG_DEV	ACCURACY_STD_DEV
C_hdt-full_hdt-noah_bertje_orig	train_hdt-full_bertje_orig	dev_hdt_bertje_orig	2.5689237798915205	2.5788101818720235	0.009886401980502946	0.003138905528578807	0.0034664698585780774	0.00032756432999927034	0.001381177418979528	0.008245147941806233	0.006863970522826705	0.6716068257155732	0.6688207931298275	-0.0027860325857457235	0.9997260795039288	0.9745656706045865	0.9479831552570216	0.6765058912867746	-1	-1	-1	-1
C_hdt-full_hdt-noah_bertje_orig	train_hdt-full_bertje_orig	dev_noah_bertje_orig	2.5689237798915205	2.4275152513259135	-0.14140852856560704	0.003138905528578807	0.0036291881560806226	0.0004902826275018156	0.001381177418979528	0.02071632860813141	0.01933515118915188	0.6716068257155732	0.636943182723723	-0.03466364299185021	0.9838017843204482	0.9097140946330046	0.46096968094303353	0.2030401261608551	-1	-1	-1	-1
C_hdt-full_hdt-noah_gbert_orig	train_hdt-full_gbert_orig	dev_hdt_gbert_orig	1.342245546066995	1.3622284064252774	0.01998286035828234	7.239813223465619e-05	4.2936979812839964e-05	-2.9461152421816225e-05	0.006433061872134712	0.0412514576210373	0.034818395748902595	0.18785992212338287	0.19458075002616657	0.006720827902783694	0.9993220476871657	0.9880139584281596	0.9480429740128061	0.6766698461613716	0.9663099616052804	0.0029453428354488395	0.9816673952259867	0.00015499346226803768
C_hdt-full_hdt-noah_gbert_orig	train_hdt-full_gbert_orig	dev_noah_gbert_orig	1.342245546066995	1.77613701404482	0.43389146797782496	7.239813223465619e-05	0.0012096754202878433	0.0011372772880531871	0.006433061872134712	0.05107535579416401	0.0446422939220293	0.18785992212338287	0.47355259102716507	0.2856926689037822	0.9699415488803066	0.9552860246198407	0.46054878973166913	0.20298689423956112	0.5330734493525273	0.016807254687193688	0.54852111125787	0.0278054153042701
C_hdt-full_hdt-noah_gbert_rand15	train_hdt-full_gbert_rand15	dev_hdt_gbert_orig	1.8585836839819418	1.3622284064252774	-0.4963552775566644	0.0034016672645274123	4.2936979812839964e-05	-0.003358730284714572	0.015438366541883441	0.0412514576210373	0.02581309107915386	0.40195189382543467	0.19458075002616657	-0.2073711437992681	0.9995186538578876	0.9914024174379203	0.9457616289567621	0.6636583755227823	0.9624741291789375	0.005226533282993841	0.9814402078548955	0.00023063096064558349
C_hdt-full_hdt-noah_gbert_rand15	train_hdt-full_gbert_rand15	dev_noah_gbert_orig	1.8585836839819418	1.77613701404482	-0.0824466699371218	0.0034016672645274123	0.0012096754202878433	-0.002191991844239569	0.015438366541883441	0.05107535579416401	0.035636989252280565	0.40195189382543467	0.47355259102716507	0.0716006972017304	0.9822167797845389	0.9759232440260681	0.5897114558593158	0.2330735402969478	0.705261614291414	0.00632943567107672	0.7804200237749306	0.002456674030471658
C_hdt-full_hdt-noah_gbert_rand35	train_hdt-full_gbert_rand35	dev_hdt_gbert_orig	1.726864297693141	1.3622284064252774	-0.36463589126786355	0.00653468470661756	4.2936979812839964e-05	-0.0064917477268047205	0.005405040922182019	0.0412514576210373	0.035846416698855285	0.3741539843292715	0.19458075002616657	-0.17957323430310493	0.9994915357653743	0.9912001213776361	0.9410947678375488	0.6381490449287059	0.9567651335180514	0.005374476243138387	0.9814580626889381	0.00020807384413836397
C_hdt-full_hdt-noah_gbert_rand35	train_hdt-full_gbert_rand35	dev_noah_gbert_orig	1.726864297693141	1.77613701404482	0.04927271635167907	0.00653468470661756	0.0012096754202878433	-0.005325009286329717	0.005405040922182019	0.05107535579416401	0.04567031487198199	0.3741539843292715	0.47355259102716507	0.09939860669789358	0.9830546287436728	0.9778240405503259	0.602637829096973	0.24186876823268166	0.72722642203489	0.0075219108723848065	0.7975362127416017	0.0049509553518132625
C_hdt-full_hdt-noah_gbert_rand55	train_hdt-full_gbert_rand55	dev_hdt_gbert_orig	1.946953190969992	1.3622284064252774	-0.5847247845447145	0.009044003347923985	4.2936979812839964e-05	-0.009001066368111144	0.004821285218136964	0.0412514576210373	0.03643017240290034	0.480140401219768	0.19458075002616657	-0.2855596511936014	0.9994372995803475	0.9902392150912861	0.9339034959789991	0.5998728202118032	0.9403901973722881	0.008717736184835217	0.981031393723718	0.00014853685900259643
C_hdt-full_hdt-noah_gbert_rand55	train_hdt-full_gbert_rand55	dev_noah_gbert_orig	1.946953190969992	1.77613701404482	-0.17081617692517193	0.009044003347923985	0.0012096754202878433	-0.007834327927636142	0.004821285218136964	0.05107535579416401	0.04625407057602705	0.480140401219768	0.47355259102716507	-0.006587810192602905	0.9829455596484009	0.9780955829109341	0.6104199302642882	0.23969173161492577	0.717616631495685	0.005086295352672435	0.7956342182890855	0.002184044078798106
