TRAIN	TARGET	AVG_0_MONOLINGUAL	AVG_15_MONOLINGUAL	AVG_35_MONOLINGUAL	AVG_55_MONOLINGUAL	AVG_75_MONOLINGUAL	AVG_95_MONOLINGUAL	AVG_0_MBERT	AVG_15_MBERT	AVG_35_MBERT	AVG_55_MBERT	AVG_75_MBERT	AVG_95_MBERT	AVG_0_XLMR	AVG_15_XLMR	AVG_35_XLMR	AVG_55_XLMR	AVG_75_XLMR	AVG_95_XLMR
German	Alsatian G.	7.239813223465619e-05	0.00340166726452736	0.006534684706617501	0.009081136140049979	0.01112364082176006	0.01277805156160638	1.1505673908031009e-06	0.00084859168603948	0.0017611886370864798	0.002476151271442375	0.00307634758619394	0.00356674720570316	0.0	0.0	0.0	0.0	0.0	0.0
German	German	7.239813223465619e-05	0.00340166726452736	0.0065346847066174996	0.00908113614004998	0.011127774547024875	0.01277805156160638	1.1505673908031009e-06	0.00084859168603948	0.00176118863708648	0.0024770832418702557	0.00307634758619394	0.00356674720570316	0.0	0.0	0.0	0.0	0.0	0.0
German	Swiss German	7.239813223465619e-05	0.00340166726452736	0.006534684706617501	0.009081136140049979	0.011131219318078882	0.01277805156160638	1.1505673908031009e-06	0.00084859168603948	0.0017611886370864798	0.00247782881821256	0.00307634758619394	0.00356674720570316	0.0	0.0	0.0	0.0	0.0	0.0
German	Low Saxon	7.239813223465619e-05	0.00340166726452736	0.006534684706617501	0.009081136140049979	0.01112364082176006	0.01277805156160638	1.1505673908031009e-06	0.00084859168603948	0.0017611886370864798	0.002476151271442375	0.00307634758619394	0.00356674720570316	0.0	0.0	0.0	0.0	0.0	0.0
Dutch	Dutch	5.307879104206937e-05	0.0044866056365332595	0.00907039170074144	0.012188960989485981	0.01464802130532936	0.01677201521492712	0.0001255219312656	0.00070188106893076	0.0012709165543638799	0.0018074325401382801	0.0022510885152428606	0.0026490923232429598	0.0	0.0	0.0	0.0	0.0	0.0
Dutch	Low Saxon	5.307879104206937e-05	0.0044866056365332595	0.00907039170074144	0.01218896098948598	0.014648021305329361	0.016772015214927122	0.0001255219312656	0.00070188106893076	0.00127091655436388	0.0018074325401382801	0.0022510885152428597	0.0026490923232429598	0.0	0.0	0.0	0.0	0.0	0.0
Bokmål	Bokmål	0.0184683540227088	0.04607681156155482	0.07646609902351878	0.10111553136083615	0.1211724897678852	0.13838673271791163	0.00024231209798220005	0.0016836573977856001	0.00322049331223702	0.00462866452688706	0.00570126649944952	0.006630559238144519	0.0	0.0	0.0	0.0	0.0	0.0
Bokmål	East N.	0.0184683540227088	0.04607681156155482	0.07646609902351878	0.10111553136083613	0.12117248976788522	0.13838673271791163	0.0002423120979822	0.0016835216027449333	0.00322049331223702	0.004628664526887061	0.00570126649944952	0.006630559238144521	0.0	0.0	0.0	0.0	0.0	0.0
Bokmål	North N.	0.0184683540227088	0.04607681156155482	0.07646609902351878	0.10111553136083613	0.12117248976788522	0.13838673271791163	0.0002423120979822	0.0016835216027449333	0.00322049331223702	0.004628664526887061	0.00570126649944952	0.006630559238144521	0.0	0.0	0.0	0.0	0.0	0.0
Bokmål	West N.	0.0184683540227088	0.04607681156155482	0.07646609902351878	0.10111553136083613	0.12117248976788522	0.13838673271791163	0.0002423120979822	0.00168373887481	0.00322049331223702	0.004628664526887061	0.00570126649944952	0.006630559238144521	0.0	0.0	0.0	0.0	0.0	0.0
Nynorsk	East N.	0.0136938857066737	0.039135290642945235	0.06772840252630008	0.09178811367774581	0.11198081264678654	0.12952917450948892	0.0001397491371149	0.00255537968005414	0.00531829472310746	0.007634465977916919	0.00958330027628446	0.01135946820932778	0.0	0.0	0.0	0.0	0.0	0.0
Nynorsk	North N.	0.0136938857066737	0.039135290642945235	0.06772840252630008	0.09178811367774581	0.11198081264678654	0.12952917450948892	0.0001397491371149	0.00255537968005414	0.00531829472310746	0.007634465977916919	0.00958330027628446	0.01135946820932778	0.0	0.0	0.0	0.0	0.0	0.0
Nynorsk	Nynorsk	0.0136938857066737	0.03913529064294524	0.06772840252630008	0.0917881136777458	0.11198081264678657	0.12952917450948892	0.0001397491371149	0.00255537968005414	0.00531829472310746	0.007634465977916919	0.00958330027628446	0.01135946820932778	0.0	0.0	0.0	0.0	0.0	0.0
Nynorsk	West N.	0.0136938857066737	0.039135290642945235	0.06772840252630008	0.09178811367774581	0.11198081264678654	0.12952917450948892	0.0001397491371149	0.00255537968005414	0.00531829472310746	0.007634465977916919	0.00958330027628446	0.01135946820932778	0.0	0.0	0.0	0.0	0.0	0.0
French	French	0.0	0.0	0.0	0.0	0.0	0.0	3.007221627937948e-05	0.0019838664056736196	0.0039708693317220805	0.005598595129700701	0.006952475879479661	0.0080079048294518	0.0	0.0	0.0	0.0	0.0	0.0
French	Picard	0.0	0.0	0.0	0.0	0.0	0.0	3.0072216279379483e-05	0.0019838664056736196	0.0039708693317220805	0.0055985951297006994	0.00695247587947966	0.008007904829451799	0.0	0.0	0.0	0.0	0.0	0.0
French	Occitan	0.0	0.0	0.0	0.0	0.0	0.0	3.0072216279379483e-05	0.0019838664056736196	0.0039708693317220805	0.0055985951297006994	0.00695247587947966	0.008007904829451799	0.0	0.0	0.0	0.0	0.0	0.0
Spanish	Occitan	0.0010607215567894	0.011105277073765801	0.02171328075917072	0.029926258077681855	0.036613729233168024	0.04208946314865098	4.948189048121992e-05	0.00109158986375798	0.0022886931129473603	0.00315945475616072	0.0039504455992668405	0.004557261356062	0.0	0.0	0.0	0.0	0.0	0.0
