SETUP_NAME	SEED	TRAIN_SET	TARGET_SET	SUBTOKEN_RATIO_TRAIN	SUBTOKEN_RATIO_TARGET	SUBTOKEN_RATIO_DIFF	UNK_RATIO_TRAIN	UNK_RATIO_TARGET	UNK_RATIO_DIFF	TTR_TRAIN	TTR_TARGET	TTR_DIFF	SPLIT_TOKEN_RATIO_TRAIN	SPLIT_TOKEN_RATIO_TARGET	SPLIT_TOKEN_RATIO_DIFF	TARGET_SUBTOKS_IN_TRAIN	TARGET_SUBTOK_TYPES_IN_TRAIN	TARGET_WORD_TOKENS_IN_TRAIN	TARGET_WORD_TYPES_IN_TRAIN	F1_MACRO	ACCURACY
C_tdt-full_tdt-sav_bert_orig	12345	train_tdt-full_bert_orig	test_murre-HÄM_bert_orig	3.342837348449063	2.492959956483535	-0.8498773919655283	2.826141431421794e-05	0.0	-2.826141431421794e-05	0.010201857732356136	0.003734523641211044	-0.006467334091145091	0.7958431743032593	0.7352138164776769	-0.06062935782558243	0.9981348372126202	0.9057931781266919	0.635256705301477	0.10864117168429617	nan	nan
C_tdt-full_tdt-sav_bert_orig	23456	train_tdt-full_bert_orig	test_murre-HÄM_bert_orig	3.342837348449063	2.492959956483535	-0.8498773919655283	2.826141431421794e-05	0.0	-2.826141431421794e-05	0.010201857732356136	0.003734523641211044	-0.006467334091145091	0.7958431743032593	0.7352138164776769	-0.06062935782558243	0.9981348372126202	0.9057931781266919	0.635256705301477	0.10864117168429617	0.5052379479660547	0.7308307878990753
C_tdt-full_tdt-sav_bert_orig	34567	train_tdt-full_bert_orig	test_murre-HÄM_bert_orig	3.342837348449063	2.492959956483535	-0.8498773919655283	2.826141431421794e-05	0.0	-2.826141431421794e-05	0.010201857732356136	0.003734523641211044	-0.006467334091145091	0.7958431743032593	0.7352138164776769	-0.06062935782558243	0.9981348372126202	0.9057931781266919	0.635256705301477	0.10864117168429617	nan	nan
C_tdt-full_tdt-sav_bert_orig	45678	train_tdt-full_bert_orig	test_murre-HÄM_bert_orig	3.342837348449063	2.492959956483535	-0.8498773919655283	2.826141431421794e-05	0.0	-2.826141431421794e-05	0.010201857732356136	0.003734523641211044	-0.006467334091145091	0.7958431743032593	0.7352138164776769	-0.06062935782558243	0.9981348372126202	0.9057931781266919	0.635256705301477	0.10864117168429617	-1	-1
C_tdt-full_tdt-sav_bert_orig	56789	train_tdt-full_bert_orig	test_murre-HÄM_bert_orig	3.342837348449063	2.492959956483535	-0.8498773919655283	2.826141431421794e-05	0.0	-2.826141431421794e-05	0.010201857732356136	0.003734523641211044	-0.006467334091145091	0.7958431743032593	0.7352138164776769	-0.06062935782558243	0.9981348372126202	0.9057931781266919	0.635256705301477	0.10864117168429617	-1	-1
C_tdt-full_tdt-sav_bert_orig	12345	train_tdt-full_bert_orig	dev_murre-SAV_bert_orig	3.342837348449063	2.4678907519234894	-0.8749465965255738	2.826141431421794e-05	0.0	-2.826141431421794e-05	0.010201857732356136	0.0028555662031501715	-0.007346291529205964	0.7958431743032593	0.6933375226067499	-0.10250565169650949	0.997121475593094	0.8959958398335933	0.6406561321766852	0.08672335491351821	0.5042750789707331	0.7439153358060264
C_tdt-full_tdt-sav_bert_orig	23456	train_tdt-full_bert_orig	dev_murre-SAV_bert_orig	3.342837348449063	2.4678907519234894	-0.8749465965255738	2.826141431421794e-05	0.0	-2.826141431421794e-05	0.010201857732356136	0.0028555662031501715	-0.007346291529205964	0.7958431743032593	0.6933375226067499	-0.10250565169650949	0.997121475593094	0.8959958398335933	0.6406561321766852	0.08672335491351821	0.5097340145320784	0.748930968948288
C_tdt-full_tdt-sav_bert_orig	34567	train_tdt-full_bert_orig	dev_murre-SAV_bert_orig	3.342837348449063	2.4678907519234894	-0.8749465965255738	2.826141431421794e-05	0.0	-2.826141431421794e-05	0.010201857732356136	0.0028555662031501715	-0.007346291529205964	0.7958431743032593	0.6933375226067499	-0.10250565169650949	0.997121475593094	0.8959958398335933	0.6406561321766852	0.08672335491351821	0.5118172100345878	0.7497777641541243
C_tdt-full_tdt-sav_bert_orig	45678	train_tdt-full_bert_orig	dev_murre-SAV_bert_orig	3.342837348449063	2.4678907519234894	-0.8749465965255738	2.826141431421794e-05	0.0	-2.826141431421794e-05	0.010201857732356136	0.0028555662031501715	-0.007346291529205964	0.7958431743032593	0.6933375226067499	-0.10250565169650949	0.997121475593094	0.8959958398335933	0.6406561321766852	0.08672335491351821	0.5028997135641678	0.7466971155319866
C_tdt-full_tdt-sav_bert_orig	56789	train_tdt-full_bert_orig	dev_murre-SAV_bert_orig	3.342837348449063	2.4678907519234894	-0.8749465965255738	2.826141431421794e-05	0.0	-2.826141431421794e-05	0.010201857732356136	0.0028555662031501715	-0.007346291529205964	0.7958431743032593	0.6933375226067499	-0.10250565169650949	0.997121475593094	0.8959958398335933	0.6406561321766852	0.08672335491351821	0.5000062013521451	0.7375777825460564
C_tdt-full_tdt-sav_bert_orig	12345	train_tdt-full_bert_orig	dev_tdt_bert_orig	3.342837348449063	3.300101671938545	-0.04273567651051824	2.826141431421794e-05	3.4231921266581086e-05	5.970506952363147e-06	0.010201857732356136	0.03880431049989371	0.028602452767537576	0.7958431743032593	0.7945661997288749	-0.0012769745743844707	0.9957723577235772	0.9190215099114297	0.7503953908721193	0.5285473379908456	0.7984975408466952	0.9185494803434252
