SETUP_NAME	TRAIN_SET	DEV_SET	SUBTOKEN_RATIO_TRAIN	SUBTOKEN_RATIO_DEV	SUBTOKEN_RATIO_DIFF	UNK_RATIO_TRAIN	UNK_RATIO_DEV	UNK_RATIO_DIFF	TTR_TRAIN	TTR_DEV	TTR_DIFF	SPLIT_TOKEN_RATIO_TRAIN	SPLIT_TOKEN_RATIO_DEV	SPLIT_TOKEN_RATIO_DIFF	F1_MACRO_AVG_DEV	F1_MACRO_STD_DEV	ACCURACY_AVG_DEV	ACCURACY_STD_DEV
C_nno-full_nno-west_arabert_orig	train_ndt-nno-full_arabert_orig	dev_ndt-nno_arabert_orig	2.5457995353197735	2.5008	-0.04499953531977363	0.0	0.0	0.0	0.0031428575804591454	0.015549859636274869	0.012407002055815724	0.7326156185153987	0.7275888717156105	-0.0050267467997882065	0.7085341495489944	0.01592614311747782	0.8444229778464709	0.0026564895477175737
C_nno-full_nno-west_arabert_orig	train_ndt-nno-full_arabert_orig	dev_lia-west_arabert_orig	2.5457995353197735	2.020973997988795	-0.5248255373309787	0.0	0.0	0.0	0.0031428575804591454	0.017634309733350846	0.014491452152891701	0.7326156185153987	0.560982617440023	-0.1716330010753757	0.28218792994212094	0.0034959558867658684	0.3462146243355839	0.0036393868590759854
C_nno-full_nno-west_arabert_rand15	train_ndt-nno-full_arabert_rand15	dev_ndt-nno_arabert_orig	2.582391538561211	2.5008	-0.08159153856121115	0.0	0.0	0.0	0.0033001332115967738	0.015549859636274869	0.012249726424678095	0.7309390063847615	0.7275888717156105	-0.003350134669151017	0.6969348044722723	0.008026029382648044	0.8398763523956724	0.005732355851365166
C_nno-full_nno-west_arabert_rand15	train_ndt-nno-full_arabert_rand15	dev_lia-west_arabert_orig	2.582391538561211	2.020973997988795	-0.5614175405724162	0.0	0.0	0.0	0.0033001332115967738	0.017634309733350846	0.014334176521754073	0.7309390063847615	0.560982617440023	-0.16995638894473852	0.3109876476489847	0.005250158492250732	0.37789110759948286	0.0040761793035395694
C_nno-full_nno-west_arabert_rand35	train_ndt-nno-full_arabert_rand35	dev_ndt-nno_arabert_orig	2.6310572790750184	2.5008	-0.1302572790750185	0.0	0.0	0.0	0.0033276687367648854	0.015549859636274869	0.012222190899509983	0.7291102878721909	0.7275888717156105	-0.001521416156580413	0.662248960467692	0.011538082408976325	0.812596599690881	0.012259917841597232
C_nno-full_nno-west_arabert_rand35	train_ndt-nno-full_arabert_rand35	dev_lia-west_arabert_orig	2.6310572790750184	2.020973997988795	-0.6100832810862236	0.0	0.0	0.0	0.0033276687367648854	0.017634309733350846	0.01430664099658596	0.7291102878721909	0.560982617440023	-0.16812767043216792	0.30977061172827136	0.006313031437702401	0.3831633386007757	0.005624260727520997
C_nno-full_nno-west_arabert_rand55	train_ndt-nno-full_arabert_rand55	dev_ndt-nno_arabert_orig	2.681066323974007	2.5008	-0.18026632397400721	0.0	0.0	0.0	0.0032947389219809184	0.015549859636274869	0.01225512071429395	0.7271888292958666	0.7275888717156105	0.00040004241974389565	0.6360583602737901	0.008544889975276436	0.7860059247810407	0.00904477624192592
C_nno-full_nno-west_arabert_rand55	train_ndt-nno-full_arabert_rand55	dev_lia-west_arabert_orig	2.681066323974007	2.020973997988795	-0.6600923259852123	0.0	0.0	0.0	0.0032947389219809184	0.017634309733350846	0.014339570811369927	0.7271888292958666	0.560982617440023	-0.1662062118558436	0.31071532359143855	0.005574443142257685	0.38622324378681216	0.0036760609341328974
C_nno-full_nno-west_arabert_rand75	train_ndt-nno-full_arabert_rand75	dev_ndt-nno_arabert_orig	2.728236892967538	2.5008	-0.2274368929675381	0.0	0.0	0.0	0.003244621613133657	0.015549859636274869	0.01230523802314121	0.7248431951930661	0.7275888717156105	0.002745676522544427	0.614516778041611	0.007477289503232821	0.7674137042761463	0.007867177512035773
C_nno-full_nno-west_arabert_rand75	train_ndt-nno-full_arabert_rand75	dev_lia-west_arabert_orig	2.728236892967538	2.020973997988795	-0.7072628949787432	0.0	0.0	0.0	0.003244621613133657	0.017634309733350846	0.014389688120217188	0.7248431951930661	0.560982617440023	-0.16386057775304308	0.29879673715762284	0.008849057607363287	0.3854474931762678	0.004362649710352487
C_nno-full_nno-west_arabert_rand95	train_ndt-nno-full_arabert_rand95	dev_ndt-nno_arabert_orig	2.776314516123067	2.5008	-0.2755145161230672	0.0	0.0	0.0	0.0031947943015917884	0.015549859636274869	0.01235506533468308	0.7229051665845935	0.7275888717156105	0.004683705131017013	0.5800535269931368	0.008726922938223938	0.7369590417310665	0.009436251087637872
C_nno-full_nno-west_arabert_rand95	train_ndt-nno-full_arabert_rand95	dev_lia-west_arabert_orig	2.776314516123067	2.020973997988795	-0.7553405181342723	0.0	0.0	0.0	0.0031947943015917884	0.017634309733350846	0.014439515431759057	0.7229051665845935	0.560982617440023	-0.1619225491445705	0.29066708332421776	0.007482724436554881	0.38284729205573914	0.004716256924718304
C_nno-full_nno-west_finbert_orig	train_ndt-nno-full_finbert_orig	dev_ndt-nno_finbert_orig	1.985676435821139	1.955904	-0.029772435821138865	0.023009528970780832	0.023592159942410262	0.0005826309716294303	0.011691697672523831	0.04727127053095436	0.03557957285843053	0.5667874460271488	0.558443639626935	-0.008343806400213816	0.8317377452931423	0.0012954930403809653	0.936758437229576	0.0006684303280653034
