METRIC	AVERAGE	STD_DEV	N_RUNS
dev_padt_arabert_orig_acc_epoch1	0.8275064779748854	0.012235507150825274	5
dev_padt_arabert_orig_f1_epoch1	0.5388545218442375	0.015937564381409686	5
dev_dar-egy_arabert_orig_acc_epoch1	0.6041899725414421	0.009700339338684368	5
dev_dar-egy_arabert_orig_f1_epoch1	0.33337161143073846	0.006647368966121662	5
dev_padt_arabert_orig_acc_epoch2	0.8386485947777557	0.012509139906479824	5
dev_padt_arabert_orig_f1_epoch2	0.6061198670502186	0.009764703713090198	5
dev_dar-egy_arabert_orig_acc_epoch2	0.6212346181226482	0.01115990215850104	5
dev_dar-egy_arabert_orig_f1_epoch2	0.35925320741049144	0.009350558799116343	5
dev_f1_epocha	0.4593998019339215	0.11644016819910949	20
dev_acc_epocha	0.722894915854183	0.11101013358172665	20
