METRIC	AVERAGE	STD_DEV	N_RUNS
dev_f1_epoch	0.05153313172223115	0.0014092922518362456	20
dev_acc_epoch	0.12512095252759645	0.009204356243955733	20
dev_hdt_gbert_orig_acc_epoch1	0.13591653788611077	0.001632482899358518	5
dev_hdt_gbert_orig_f1_epoch1	0.051367290845057464	0.001039231780215992	5
dev_noah_gbert_orig_acc_epoch1	0.11868797604895875	0.0023516364014763416	5
dev_noah_gbert_orig_f1_epoch1	0.0530745224919877	0.0007068953993176013	5
dev_hdt_gbert_orig_acc_epoch2	0.1312084028543107	0.003702065556282525	5
dev_hdt_gbert_orig_f1_epoch2	0.04977493725194263	0.0006621836378855597	5
dev_noah_gbert_orig_acc_epoch2	0.1146708933210056	0.003576530915424146	5
dev_noah_gbert_orig_f1_epoch2	0.0519157762999368	0.000534017102384373	5
