METRIC	AVERAGE	STD_DEV	N_RUNS
dev_padt-translit_xlmr_orig_acc_epoch1	0.8999287749287749	0.0019065590768925405	5
dev_padt-translit_xlmr_orig_f1_epoch1	0.641998697438247	0.020882311969302212	5
dev_padt-translit_xlmr_orig_acc_epoch2	0.937962962962963	0.0011838046049856682	5
dev_padt-translit_xlmr_orig_f1_epoch2	0.7663581885979136	0.0078857246541719	5
dev_f1_epoch	0.7041784430180803	0.06415176196820423	10
dev_acc_epoch	0.9169549586216255	0.019104814111474824	9
test_acc_epoch	0.6094433477655794	0.3355194541746324	10
test_f1_epoch	0.5031511651646017	0.3322199654646558	10
