METRIC	AVERAGE	STD_DEV	N_RUNS
dev_f1_epoch	0.7942600881390677	0.11599293208984411	20
dev_acc_epoch	0.8890471810612974	0.09592757143004574	19
dev_hdt_mbert_orig_acc_epoch1	0.979667038129306	0.000228882106321745	5
dev_hdt_mbert_orig_f1_epoch1	0.9098473162535047	0.00044958025220871034	5
dev_noah_mbert_orig_acc_epoch1	0.7890520012328828	0.0026139357193008072	5
dev_noah_mbert_orig_f1_epoch1	0.6792093119244568	0.0036411334022928665	5
dev_hdt_mbert_orig_acc_epoch2	0.9803898510660567	0.00021014042138844713	5
dev_hdt_mbert_orig_f1_epoch2	0.9106124649800776	0.00033047312160582233	5
dev_noah_mbert_orig_acc_epoch2	0.7862850601030338	0.002937441317571445	5
dev_noah_mbert_orig_f1_epoch2	0.6773712593982323	0.002430987481684473	5
