METRIC	AVERAGE	STD_DEV	N_RUNS
dev_f1_epoch	0.8017060622133426	0.13067994057772725	20
dev_acc_epoch	0.8743101254013226	0.10717671780660279	20
dev_hdt_xlmr_orig_acc_epoch1	0.9812031695408845	8.94332570685902e-05	5
dev_hdt_xlmr_orig_f1_epoch1	0.9192115119206573	0.00609292368451494	5
dev_noah_xlmr_orig_acc_epoch1	0.7691645163847081	0.008006916722600042	5
dev_noah_xlmr_orig_f1_epoch1	0.6613700430986459	0.010346312376448837	5
dev_hdt_xlmr_orig_acc_epoch2	0.9813841806170384	0.00022414108647288004	5
dev_hdt_xlmr_orig_f1_epoch2	0.9440749763285796	0.0031168662136406245	5
dev_noah_xlmr_orig_acc_epoch2	0.7654886350626591	0.009722878456754767	5
dev_noah_xlmr_orig_f1_epoch2	0.6821677175054885	0.00974936870053132	5
