N_RUNS	EPOCH	F1 (TEST)	STDEV (F1 TEST)	ACC (TEST)	STDEV (ACC TEST)	F1 (VAL)	STDEV (F1 VAL)	ACC (VAL)	STDEV (ACC VAL)
hdt
---------------------
5	1	-	-	-	-	0.9199913225327357	0.0006924923051731507	0.980763863959169	9.872264690448829e-05
5	2	-	-	-	-	0.9348443725838278	0.005536230717109152	0.9809942405843699	0.00014798786449959488
5	3	-	-	-	-	0.9428915516978513	0.0036568298936106697	0.9810897625996973	0.00023314576641671154
5	4	-	-	-	-	0.9423562129336975	0.00529322342364061	0.9810516786589458	0.00022609772541770185
5	5	-	-	-	-	0.9432847885881059	0.003908843136283677	0.9806365012720661	0.00024399123299415624

noah
---------------------
5	1	0.33422028571536877	0.0069274736799603415	0.5201051885560819	0.006271831573142462	-	-	-	-
5	2	0.33283912952056005	0.0038886998999745864	0.5085027416166212	0.020562036609001764	-	-	-	-
5	3	0.3357501829720911	0.0053788235005230054	0.4975698459472565	0.010751483362467463	-	-	-	-
5	4	0.34159666730428356	0.009323324376031719	0.505716363907643	0.01823421341075482	-	-	-	-
5	5	0.3389336649005144	0.00706972216781206	0.4985247491514044	0.016041451367219604	-	-	-	-

