N_RUNS	EPOCH	F1 (TEST)	STDEV (F1 TEST)	ACC (TEST)	STDEV (ACC TEST)	F1 (VAL)	STDEV (F1 VAL)	ACC (VAL)	STDEV (ACC VAL)
noah
---------------------
5	1	0.2787408104481969	0.006239671962109116	0.3943738389408191	0.006242500776142449	-	-	-	-
5	2	0.27679875509973106	0.003977597861283361	0.3716116730064184	0.007031794531866581	-	-	-	-
5	3	0.2748298337816115	0.006813696886118649	0.36280089247977665	0.008902051499312976	-	-	-	-
5	4	0.2761574113648665	0.004642780204517601	0.3639587572120818	0.004412092706195071	-	-	-	-
5	5	0.2808858687375121	0.007418859144451464	0.3669861115206558	0.0042289846563367105	-	-	-	-

uzh
---------------------
5	1	0.27598813313683584	0.009662056940136726	0.3570637119113573	0.010379498058279894	-	-	-	-
5	2	0.2503977158654799	0.00340785091382422	0.33407202216066484	0.008431707066606339	-	-	-	-
5	3	0.2458654316348899	0.005260130979244332	0.3238227146814404	0.008510964817582945	-	-	-	-
5	4	0.24213626061765417	0.007955793466026886	0.32146814404432134	0.007553240002457616	-	-	-	-
5	5	0.24110621189977666	0.010152728854552293	0.3235457063711911	0.010001112575366043	-	-	-	-

alpino
---------------------
5	1	-	-	-	-	0.7670182263806024	0.007429798253634505	0.9071941155364192	0.0011082486696433725
5	2	-	-	-	-	0.8120533161603853	0.006788054269582611	0.9343021169716541	0.000506162037304148
5	3	-	-	-	-	0.8398186830190006	0.004765636161391458	0.9460172228202367	0.0008685840284829582
5	4	-	-	-	-	0.8504072466692957	0.0049477888167666515	0.95016146393972	0.0006798455443665647
5	5	-	-	-	-	0.8547884371183235	0.0022116062344335686	0.9527807678507356	0.002035745669537737

lsdc
---------------------
5	1	0.4037099444496378	0.006663502536034768	0.5686153846153846	0.005741757949652691	-	-	-	-
5	2	0.4171474085351651	0.006563901124808969	0.5779487179487179	0.006347383978160329	-	-	-	-
5	3	0.4318246568554113	0.012967409351147633	0.5767179487179487	0.004334471099305725	-	-	-	-
5	4	0.43082034104818695	0.010497035959178164	0.5735384615384616	0.005932781482658305	-	-	-	-
5	5	0.43960173170075434	0.010501952093166239	0.5778461538461539	0.003602906270820575	-	-	-	-

